,Balance/P&L,Credit/Debit,Is acc. Account,What is the parent/acc. Account,Accounting types,,,,"Tax types (Gewerbe, Umsatz, Koest)",,,Allowed tax id,Overwrites tax id definitions if defined,Tax1,Tax2,,,,Tax report pos.,,,
4190,,,,,,,,,,,,,,,,,,,,,Aushilfslöhne,Casual labour wages
4194,,,,,,,,,,,,,,,,,,,,,Pauschale Steuer für Minijobber,Flat-rate taxes for marginal part-time workers
4195,,,,,,,,,,,,,,,,,,,,,Löhne für Minijobs,Wages for marginal part-time work
4196,,,,,,,,,,,,,,,,,,,,,Pauschale Steuer für Gesellschafter-GF,Flat-rate taxes for shareholder managers
4197,,,,,,,,,,,,,,,,,,,,,Pauschale Steuer f. Mituntern. § 15 EStG,"Flat-rate taxes for salaried partners, section 15 EStG (corresponds to special business income)"
4198,,,,,,,,,,,,,,,,,,,,,Pauschale Steuer für Arbeitnehmer,Flat-rate taxes for employees
4199,,,,,,,,,,,,,,,,,,,,,Pauschale Steuer für Aushilfen,Flat-rate tax on casual labour wages
4200,,,,,,,,,,,,,,,,,,,,,Raumkosten,Occupancy costs
4210,,,,,,,,,,,,,,,,,,,,,"Miete, unbewegliche Wirtschaftsgüter",Rent (immovable property)
4211,,,,,,,,,,,,,,,,,,,,,"Aufwendungen für unbewegliche WG, GewSt",Expenses for rented or leased immovable property that must be added back under trade tax law
4212,,,,,,,,,,,,,,,,,,,,,Miete/Aufw. doppelte Haushaltsführ. UN,Rent/expenses for maintaining two residences (business owner)
4215,,,,,,,,,,,,,,,,,,,,,"Leasing, unbewegliche Wirtschaftsgüter",Leases (immovable property)
4219,,,,,,,,,,,,,,,,,,,,,Vergütung Mitunter Miete unbew.WG(PersG),"Remuneration of partners for rental of their immovable property, section 15 EStG (corresponds to special business income)"
4220,,,,,,,,,,,,,,,,,,,,,"Pacht, unbewegliche Wirtschaftsgüter",Real property leases (immovable property)
4222,,,,,,,,,,,,,,,,,,,,,"Vergütung Ges.er Miete,Pacht unbew.WG",Remuneration of partners for rental and lease of their immovable property
4228,,,,,,,,,,,,,,,,,,,,,Miet- und Pachtnebenkosten,"Incidental rental and lease expenses, not added back for trade tax purposes"
4229,,,,,,,,,,,,,,,,,,,,,Pacht unbewegl. WG MU § 15 EStG,"Remuneration of partners for lease of their immovable property, section 15 EStG (corresponds to special business income)"
4230,,,,,,,,,,,,,,,,,,,,,Heizung,Heating
4240,,,,,,,,,,,,,,,,,,,,,"Gas, Strom, Wasser","Gas, electricity, water 4250 Cleaning"
4250,,,,,,,,,,,,,,,,,,,,,Reinigung,#NV
4260,,,,,,,,,,,,,,,,,,,,,Instandhaltung betrieblicher Räume,Maintenance of operating premises
4270,,,,,,,,,,,,,,,,,,,,,Abgaben betrieblich genutzt. Grundbesitz,Levies for real property used for operating purposes
4280,,,,,,,,,,,,,,,,,,,,,Sonstige Raumkosten,Other occupancy costs
4288,,,,,,,,,,,,,,,,,,,,,"Aufwendung. Arbeitszimmer, abz. Anteil",Expenses for home office (deductible portion)
4289,,,,,,,,,,,,,,,,,,,,,Aufwendung. Arbeitszimmer n.abz. Anteil,Expenses for home office (non-deductible portion)
4290,,,,,,,,,,,,,,,,,,,,,"Grundstücksaufwendungen, betrieblich","Real estate expenses, operating"
4300,,,,,,,,,,,,,,,,,,,,,Nicht abziehb. VoSt (so betr Aufwand),Non-deductible input tax
4301,,,,,,,,,,,,,,,,,,,,,Nicht abziehb. VoSt 7% (so betr Aufwand),"Non-deductible input tax, 7 %"
4306,,,,,,,,,,,,,,,,,,,,,Nicht abziehb. VoSt 19% (so betr Aufw),"Non-deductible input tax, 19 %"
4320,,,,,,,,,,,,,,,,,,,,,Gewerbesteuer,Trade tax
4340,,,,,,,,,,,,,,,,,,,,,Sonstige Betriebssteuern,Other taxes
4350,,,,,,,,,,,,,,,,,,,,,Verbrauchsteuer (sonstige Steuern),Excise taxes (other
4355,,,,,,,,,,,,,,,,,,,,,Ökosteuer,Eco tax
4360,,,,,,,,,,,,,,,,,,,,,Versicherungen,Insurance premiums
4366,,,,,,,,,,,,,,,,,,,,,Versicherung für Gebäude,Building insurance
4370,,,,,,,,,,,,,,,,,,,,,Prämie Rückdeckung f. Versorgungsleistg,Net insurance premium for future pension benefit liability
4380,,,,,,,,,,,,,,,,,,,,,Beiträge,Contributions
4390,,,,,,,,,,,,,,,,,,,,,Sonstige Abgaben,Other levies
4396,,,,,,,,,,,,,,,,,,,,,Abzugsf.Verspätungszuschlag/Zwangsgeld,Tax-deductible late filing penalties and administrative fines
4397,,,,,,,,,,,,,,,,,,,,,Nicht abzf.Verspät.zuschlag/Zwangsgeld,Non-tax deductible late filing penalties and administrative fines
4500,,,,,,,,,,,,,,,,,,,,,Fahrzeugkosten,Vehicle expenses
4510,,,,,,,,,,,,,,,,,,,,,Kfz-Steuern,Motor vehicle tax
4520,,,,,,,,,,,,,,,,,,,,,Kfz-Versicherungen,Vehicle-insurances
4530,,,,,,,,,,,,,,,,,,,,,Laufende Kfz-Betriebskosten,Current vehicle-operating costs
4540,,,,,,,,,,,,,,,,,,,,,Kfz-Reparaturen,Vehicle-repairs
4550,,,,,,,,,,,,,,,,,,,,,Garagenmieten,Garage rent
4560,,,,,,,,,,,,,,,,,,,,,Mautgebühren,Road tolls
4570,,,,,,,,,,,,,,,,,,,,,Mietleasing Kfz,Operating leases (motor vehicles)
4575,,,,,,,,,,,,,,,,,,,,,Mietleasing Elektrofahrzeuge,Leasing expenses for electric vehicles that must be added back under trade tax law
4580,,,,,,,,,,,,,,,,,,,,,Sonstige Kfz-Kosten,Other vehicle costs
4590,,,,,,,,,,,,,,,,,,,,,Kfz-Kosten betriebl.Nutzung Kfz im PV,Expenses for private vehicles used for business purposes
4595,,,,,,,,,,,,,,,,,,,,,Fremdfahrzeugkosten,Third-party vehicle expenses
4600,,,,,,,,,,,,,,,,,,,,,Werbekosten,Advertising expenses
4605,,,,,,,,,,,,,,,,,,,,,Streuartikel,Giveaways
4630,,,,,,,,,,,,,,,,,,,,,Geschenke abzugsfähig ohne § 37b EStG,"Gifts, deductible, without s. 37b EStG"
4631,,,,,,,,,,,,,,,,,,,,,Geschenke abzugsfähig mit § 37b EStG,"Non-cash benefits to third parties, deductible, s. 37b EStG"
4632,,,,,,,,,,,,,,,,,,,,,Pausch. Steuer Geschenke/Zuwend. abz.,"Flat-rate taxes on gifts and non-cash benefits, deductible"
4635,,,,,,,,,,,,,,,,,,,,,Geschenke n. abzugsfähig ohne §37b EStG,"Gifts, non-deductible, without s. 37b EStG"
4636,,,,,,,,,,,,,,,,,,,,,Geschenke n. abzugsfähig mit § 37b EStG,"Gifts, non-deductible, with s. 37b EStG"
4637,,,,,,,,,,,,,,,,,,,,,Pausch. Steuer Geschenke/Zuwend. n.abz.,"Flat-rate taxes on noncash benefits and gifts, non-deductible"
4638,,,,,,,,,,,,,,,,,,,,,Geschenke ausschl.betrieblich genutzt,Gifts used exclusively for operating purposes
4639,,,,,,,,,,,,,,,,,,,,,Zugaben mit § 37b EStG,"Non-cash benefits, with s. 37b EStG"
4640,,,,,,,,,,,,,,,,,,,,,Repräsentationskosten,Corporate hospitality expenses
4650,,,,,,,,,,,,,,,,,,,,,Bewirtungskosten,Entertainment expenses
4651,,,,,,,,,,,,,,,,,,,,,"Eingeschr. abziehb.BA, abz. Anteil",Other business expenses with limited deductibility (deductible portion)
4652,,,,,,,,,,,,,,,,,,,,,"Eingeschr. abziehb.BA, n. abz. Anteil",Other business expenses with limited deductibility (non-deductible portion)
4653,,,,,,,,,,,,,,,,,,,,,Aufmerksamkeiten,Small gifts
4654,,,,,,,,,,,,,,,,,,,,,Nicht abzugsfähige Bewirtungskosten,Non-deductible entertainment expenses
4655,,,,,,,,,,,,,,,,,,,,,Nicht abzugsfähige Betriebsausgaben,Non-deductible business expenses from advertising and corporate hospitality expenses
4660,,,,,,,,,,,,,,,,,,,,,Reisekosten Arbeitnehmer,Employee travel expenses
4663,,,,,,,,,,,,,,,,,,,,,"Reisekosten Arbeitnehmer, Fahrtkosten","Employee travel expenses, cost of travel"
4664,,,,,,,,,,,,,,,,,,,,,Reisekosten AN Verpfleg.mehraufwand,"Employee travel expenses, additional subsistence costs"
4666,,,,,,,,,,,,,,,,,,,,,Reisekosten AN Übernachtungsaufwand,"Employee travel expenses, accommodation costs"
4668,,,,,,,,,,,,,,,,,,,,,Kilometergelderstattung Arbeitnehmer,Employee mileage reimbursement
4670,,,,,,,,,,,,,,,,,,,,,Reisekosten Unternehmer,Business owner travel expenses
4672,,,,,,,,,,,,,,,,,,,,,"Reisekosten Unternehmer, n.abz.Anteil",Business owner travel expenses (non-deductible portion)
4673,,,,,,,,,,,,,,,,,,,,,"Reisekosten Unternehmer, Fahrtkosten","Business owner travel expenses, cost of travel"
4674,,,,,,,,,,,,,,,,,,,,,Reisekosten UN Verpfleg.mehraufwand,"Business owner travel expenses, additional subsistence costs"
4676,,,,,,,,,,,,,,,,,,,,,Reisekosten UN Übernacht./Nebenkost,"Business owner travel expenses, accommodation costs and incidental travel expenses"
4678,,,,,,,,,,,,,,,,,,,,,"Fahrten Wohng./Betrieb/Familie, abz.",Travel between home and workplace and travel to family home (deductible portion)
4679,,,,,,,,,,,,,,,,,,,,,"Fahrten Wohng./Betrieb/Familie, n.abz",Travel between home and workplace and travel to family home (non-deductible portion)
4680,,,,,,,,,,,,,,,,,,,,,"Fahrten Wohng./Betrieb/Familie, Haben",Travel between home and workplace and travel to family home (credit balance)
4681,,,,,,,,,,,,,,,,,,,,,Verpfl.Mehraufwend. dopp. Haushaltsf. UN,Additional subsistence expenses in connection with maintaining two residences (business owner)
4700,,,,,,,,,,,,,,,,,,,,,Kosten Warenabgabe,Selling and distribution expenses
4710,,,,,,,,,,,,,,,,,,,,,Verpackungsmaterial,Packaging materials
4730,,,,,,,,,,,,,,,,,,,,,Ausgangsfrachten,Outgoing freight
4750,,,,,,,,,,,,,,,,,,,,,Transportversicherungen,Transport insurance
4760,,,,,,,,,,,,,,,,,,,,,Verkaufsprovisionen,Selling commissions
4780,,,,,,,,,,,,,,,,,,,,,Fremdarbeiten (Vertrieb),Third-party services (distribution)
4790,,,,,,,,,,,,,,,,,,,,,Aufwand für Gewährleistungen,Warranty expenses
4800,,,,,,,,,,,,,,,,,,,,,Reparatur/Instandh. Anlagen u. Maschinen,Repairs and maintenance of technical equipment and machinery
4801,,,,,,,,,,,,,,,,,,,,,Reparatur u.Instandhaltung von Bauten,Building repairs and maintenance
4805,,,,,,,,,,,,,,,,,,,,,Reparatur/Instandh.v.and.Anlagen u. BGA,"Repairs and maintenance of other equipment, operating and office equipment"
4806,,,,,,,,,,,,,,,,,,,,,Wartungskosten für Hard- und Software,Hardware and software maintenance expenses
4808,,,,,,,,,,,,,,,,,,,,,Zuführung zu Aufwandsrückstellungen,Addition to provision for internal expenses
4809,,,,,,,,,,,,,,,,,,,,,Sonstige Reparaturen u.Instandhaltungen,Other repairs and maintenance
4810,,,,,,,,,,,,,,,,,,,,,Mietleasing bewegl. WG techn. Anlagen,Operating leases movable assets for technical equipment and machinery
4815,,,,,,,,,,,,,,,,,,,,,Kaufleasing,Finance leases
4822,,,,,,,,,,,,,,,,,,,,,Abschreibung immaterielle VermG,Amortisation of intangible fixed assets
4823,,,,,,,,,,,,,,,,,,,,,Abschreibung selbst geschaffene imm. VG,Amortisation of internally generated intangible fixed assets
4824,,,,,,,,,,,,,,,,,,,,,Abschr. Geschäfts- oder Firmenwert,Goodwill amortisation and writedowns
4825,,,,,,,,,,,,,,,,,,,,,"Apl. Abschreib. Geschäfts-, Firmenwert",Goodwill writedowns
4826,,,,,,,,,,,,,,,,,,,,,Apl. Abschreibungen immaterielle VermG,Writedowns of intangible fixed assets
4827,,,,,,,,,,,,,,,,,,,,,Apl. Abschreibung selbst gesch. imm.VG,Writedowns of internally generated intangible fixed assets
4830,,,,,,,,,,,,,,,,,,,,,Abschreibungen auf Sachanlagen,Depreciation of tangible fixed assets (excluding depreciation of vehicles and buildings)
4831,,,,,,,,,,,,,,,,,,,,,Abschreibungen auf Gebäude,Depreciation of buildings
4832,,,,,,,,,,,,,,,,,,,,,Abschreibungen auf Kfz,Depreciation of vehicles
4833,,,,,,,,,,,,,,,,,,,,,Abschreibung Arbeitszimmer,Depreciation of share of building attributable to home office
4840,,,,,,,,,,,,,,,,,,,,,Apl. Abschreibungen auf Sachanlagen,writedowns of tangible fixed assets
4841,,,,,,,,,,,,,,,,,,,,,Außergewöhnliche Abschreibung Gebäude,writedowns for extraordinary technical and economic wear and tear of buildings
4842,,,,,,,,,,,,,,,,,,,,,Außergewöhnliche Abschreibung auf Kfz,writedowns for extraordinary technical and economic wear and tear of vehicles
4843,,,,,,,,,,,,,,,,,,,,,Außergewöhnliche Abschreibung so. WG,writedowns for extraordinary technical and economic wear and tear of other assets
4850,,,,,,,,,,,,,,,,,,,,,Abschreib.Sachanlagen/stl. So-Vorschr.,writedowns of tangible fixed assets due to special tax rules
4851,,,,,,,,,,,,,,,,,,,,,Sonderabschr. § 7g (5) EStG ohne Kfz,"Special depreciation pursuant to section 7g, paragraph 5, of the EStG (excl.vehicles)"
4852,,,,,,,,,,,,,,,,,,,,,Sonderabschr. § 7g (5) EStG für Kfz,"Special depreciation pursuant to section 7g, paragraph 5, of the"
4853,,,,,,,,,,,,,,,,,,,,,Kürzung AHK § 7g (2) EStG ohne Kfz,Reduction in cost in accordance with section 7g(2) EStG (excl. vehicles)
4854,,,,,,,,,,,,,,,,,,,,,Kürzung AHK § 7g (2) EStG für Kfz,Reduction in cost in accordance with section 7g(2) EStG (for vehicles)
4855,,,,,,,,,,,,,,,,,,,,,Sofortabschreibung GWG,Immediate write-off of low-value assets
4856,,,,,,,,,,,,,,,,,,,,,Sonderabschreibungen nach § 7b EStG,Accelerated tax depreciation under section 7b EStG (new rental housing)
4859,,,,,,,,,,,,,,,,,,,,,Abzugsbetrag nach § 6b EStG,Deduction amount pursuant to section 6b EStG
4860,,,,,,,,,,,,,,,,,,,,,Abschreibungen auf aktivierte GWG,Depreciation and amortisation of capitalised low-value assets
4862,,,,,,,,,,,,,,,,,,,,,Abschreibungen auf WG Sammelposten,writedowns of assets (collective item)
4865,,,,,,,,,,,,,,,,,,,,,Apl. Abschreibungen auf aktivierte GWG,writedowns of capitalised low-value assets
4866,,,,,,,,,,,,,,,,,,,,,Abschr. Finanzanlagen (n. dauerhaft),writedowns of long-term financial assets (not permanent)
4870,,,,,,,,,,,,,,,,,,,,,Abschreibung Finanzanlagen (dauerhaft),writedowns of long-term financial assets (permanent)
4871,,,,,,,,,,,,,,,,,,,,,"Abschr. Finanzanl., zT.n.abz.(dauerhaft)","writedowns of long-term financial assets, s. 3 no. 40 EStG/ s. 8b(3) KStG (permanent)"
4872,,,,,,,,,,,,,,,,,,,,,Verlustanteile Mitunternehmerschaften,"Expenses due to share of loss of industrial and independent partnerships, s. 8 GewStG or s. 18 EStG"
4873,,,,,,,,,,,,,,,,,,,,,AfA Finanzanlagen § 6b EStG z.T. n.abz.,"writedowns of long-term financial assets due to section 6b EStG reserve, section 3 no. 40 EStG/section 8b(3) KStG"
4874,,,,,,,,,,,,,,,,,,,,,Abschreibung Finanzanlagen § 6b EStG,writedowns of long-term financial assets due to section 6b EStG reserve
4875,,,,,,,,,,,,,,,,,,,,,Abschreibungen Wertpapiere des UV,writedowns of securities classified as current assets
4876,,,,,,,,,,,,,,,,,,,,,Abschreibungen Wertpap. UV z.T. n.abz.,"writedowns of securities classified as current assets, section 3 no. 40 EStG/section 8b(3) KStG"
4877,,,,,,,,,,,,,,,,,,,,,"Abschreibungen Finanzanlagen, verb.UN",writedowns of long-term financial assets affiliated companies
4878,,,,,,,,,,,,,,,,,,,,,"Abschreibungen auf WP des UV, verb. UN",writedowns of securities classified as current assets affiliated companies
4880,,,,,,,,,,,,,,,,,,,,,Abschr. sonst. VG des UV (unübl.Höhe),writedowns of other current assets (if unusually high)
4882,,,,,,,,,,,,,,,,,,,,,Steuerr. Abschr. auf UV (unübliche Höhe),writedowns of current assets due to tax rules (unusually high)
4886,,,,,,,,,,,,,,,,,,,,,AfA UV außer Vorr Wertp UV (übl. Höhe),writedowns of current assets excluding inventories and securities classified as current assets (normal amount)
4887,,,,,,,,,,,,,,,,,,,,,Steuerr AfA UV auß Vorr Wertp (übl Höhe),"writedowns of current assets due to tax reasons, excluding inventories and securities classified as current assets (normal amount)"
4892,,,,,,,,,,,,,,,,,,,,,"Abschreibungen RHB/Waren, unüblich hoch","writedowns of raw materials, consumables and supplies/merchandise (if unusually high)"
4893,,,,,,,,,,,,,,,,,,,,,"Abschr. fertige, unfert. EZ, unübl.hoch",writedowns of finished goods and work in progress (if unusually high)
4900,,,,,,,,,,,,,,,,,,,,,Sonstige betriebliche Aufwendungen,Other operating expenses
4902,,,,,,,,,,,,,,,,,,,,,Interimskonto Vorsteuervergütung,Interim account for expenses in another country for which input tax reimbursement is possible
4905,,,,,,,,,,,,,,,,,,,,,Sonstige betriebl.u.regelm.Aufwendungen,Other regular operating expenses
4909,,,,,,,,,,,,,,,,,,,,,Fremdleistungen und Fremdarbeiten,Purchased services/third-party services
4910,,,,,,,,,,,,,,,,,,,,,Porto,Postage
4920,,,,,,,,,,,,,,,,,,,,,Telefon,Telephone
4921,,,,,,,,,,,,,,,,,,,,,Handy,Cellphone
4923,,,,,,,,,,,,,,,,,,,,,Domainkosten,Domain expenses
4924,,,,,,,,,,,,,,,,,,,,,Internetserver,Internet server
4925,,,,,,,,,,,,,,,,,,,,,Telefax und Internetkosten,Fax and Internet expenses
4930,,,,,,,,,,,,,,,,,,,,,Bürobedarf,Office supplies
4940,,,,,,,,,,,,,,,,,,,,,"Zeitschriften, Bücher (Fachliteratur)","Newspapers, books (specialist literature)"
4945,,,,,,,,,,,,,,,,,,,,,Fortbildungskosten,Training costs
4946,,,,,,,,,,,,,,,,,,,,,Freiwillige Sozialleistungen,Voluntary social benefits
4948,,,,,,,,,,,,,,,,,,,,,Vergütungen an Mitunternehmer §15 EStG,"Remuneration of partners, section 15 EStG (corresponds to special business income)"
4949,,,,,,,,,,,,,,,,,,,,,Haftungsvergütung MU § 15 EStG,"Liability compensation paid to partners, section 15 EStG (corresponds to special business income)"
4950,,,,,,,,,,,,,,,,,,,,,Rechts- und Beratungskosten,Legal and consulting expenses
4955,,,,,,,,,,,,,,,,,,,,,Buchführungskosten,Bookkeeping expenses
4957,,,,,,,,,,,,,,,,,,,,,Abschluss- und Prüfungskosten,Period-end closing and audit costs
4958,,,,,,,,,,,,,,,,,,,,,"Vergütung Ges.er Miete, Pacht bew. WG",Remuneration paid to shareholders for rental or lease of their movable property
4959,,,,,,,,,,,,,,,,,,,,,"Miete, Pacht bewegl.WG MU § 15 EStG","Remuneration paid to partners for rental or lease of their movable property, section 15 EStG (corresponds to special business income)"
4960,,,,,,,,,,,,,,,,,,,,,Mieten für Einrichtungen bewegliche WG,Rent of fixtures and fittings (movable assets)
4961,,,,,,,,,,,,,,,,,,,,,Pacht (bewegliche Wirtschaftsgüter),Leases (movable assets)
4963,,,,,,,,,,,,,,,,,,,,,"Aufwendungen für bewegliche WG, GewSt",Expenses for rented or leased movable assets that must be added back under trade tax law
4964,,,,,,,,,,,,,,,,,,,,,"Aufwendungen für Lizenzen, Konzessionen","Expenses for temporary transfer of rights (licences, concessions)"
4965,,,,,,,,,,,,,,,,,,,,,Mietleasing bewegl. WG Betriebsausstatt.,Operating leases movable assets for operating and office equipment
4969,,,,,,,,,,,,,,,,,,,,,Aufwand Abraum-/Abfallbeseitigung,Environmental remediation and waste disposal expenses
4970,,,,,,,,,,,,,,,,,,,,,Nebenkosten des Geldverkehrs,Incidental monetary transaction costs
4971,,,,,,,,,,,,,,,,,,,,,Verwahrentgelt,Custody fee
4975,,,,,,,,,,,,,,,,,,,,,Aufwendg. Anteile KapGes z.T. n. abz.,"Expenses from shares in corporations, sections 3 no. 40, 3c EStG/section 8b(1,4) KStG"
4976,,,,,,,,,,,,,,,,,,,,,Veräußerungskosten (bei Veräuß.gewinn),"Costs for disposal, section 3 no. 40 EStG / section 8b (2) KStG (in the case of capital gains)"
4977,,,,,,,,,,,,,,,,,,,,,Veräußerungskosten (bei Veräuß.verlust),"Costs for disposal, section 3 no. 40 EStG / section 8b (3) KStG (in the case of capital loss)"
4980,,,,,,,,,,,,,,,,,,,,,Sonstiger Betriebsbedarf,Operating supplies
4984,,,,,,,,,,,,,,,,,,,,,Genossenschaftliche Rückvergütung Mitgl.,Refunds by co-operatives to members
4985,,,,,,,,,,,,,,,,,,,,,Werkzeuge und Kleingeräte,Tools and minor equipment
4990,,,,,,,,,,,,,,,,,,,,,Kalkulatorischer Unternehmerlohn,Imputed business owner’s remuneration
4991,,,,,,,,,,,,,,,,,,,,,Kalkulatorische Miete und Pacht,Imputed rent/leasing expenses
4992,,,,,,,,,,,,,,,,,,,,,Kalkulatorische Zinsen,Imputed interest
4993,,,,,,,,,,,,,,,,,,,,,Kalkulatorische Abschreibungen,"Imputed depreciation, amortisation and writedowns"
4994,,,,,,,,,,,,,,,,,,,,,Kalkulatorische Wagnisse,Imputed business risks
4995,,,,,,,,,,,,,,,,,,,,,"Kalkulatorischer Lohn, unentgeltl. AN",Imputed wages for non-compensated employees
4996,,,,,,,,,,,,,,,,,,,,,Herstellungskosten,Cost of sales
4997,,,,,,,,,,,,,,,,,,,,,Verwaltungskosten,Administrative expenses
4998,,,,,,,,,,,,,,,,,,,,,Vertriebskosten,Selling expenses
4999,,,,,,,,,,,,,,,,,,,,,Gegenkonto zu 4996 bis 4998,Contra account 4996-4998
7000,,,,,,,,,,,,,,,,,,,,,Unfertige Erzeugnisse und Leistungen,Work in progress (inventories)
7050,,,,,,,,,,,,,,,,,,,,,Unfertige Erzeugnisse,Unfinished goods
7080,,,,,,,,,,,,,,,,,,,,,Unfertige Leistungen,Services in progress
7090,,,,,,,,,,,,,,,,,,,,,In Ausführung befindl. Bauaufträge,Construction contracts in progress
7095,,,,,,,,,,,,,,,,,,,,,In Arbeit befindliche Aufträge,Orders in progress
7100,,,,,,,,,,,,,,,,,,,,,Fertige Erzeugnisse und Waren,Finished goods and merchandise (inventories)
7110,,,,,,,,,,,,,,,,,,,,,Fertige Erzeugnisse,Finished goods (inventories)
7140,,,,,,,,,,,,,,,,,,,,,Waren,Merchandise (inventories)
8000,,,,,,,,,,,,,,,,,,,,,Umsatzerlöse,Sales revenue
8001,,,,,,,,,,,,,,,,,,,,,Umsatzerlöse,Sales revenue
8002,,,,,,,,,,,,,,,,,,,,,Umsatzerlöse,Sales revenue
8003,,,,,,,,,,,,,,,,,,,,,Umsatzerlöse,Sales revenue
8004,,,,,,,,,,,,,,,,,,,,,Umsatzerlöse,Sales revenue
8005,,,,,,,,,,,,,,,,,,,,,Umsatzerlöse,Sales revenue
